4,1160,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap0000a.img
6,331,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap0100a.img
2,67,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/hair/mm_hair7800a.img
040E06,154980,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap0000a.img,0
041100,3586,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap0000a.img,3
060E06,55428,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap0100a.img,0
060E05,4662,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap0100a.img,167
040E05,51612,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap0600a.img,167
64040E06,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,19
040F12,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,20
0459F6,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,21
0511F4,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,22
05F40E,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,23
04060F,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,24
041259,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,25
04F711,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,26
D05F5F4,0,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/cap/mm_cap13801a.img,27
020E06,8079,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/hair/mm_hair7800a.img,0
020E05,2452,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/hair/mm_hair7800a.img,167
021100,1086,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/neck/mm_neck10900b.img,1
020F06,687,_marker(mm).NPK,sprite/character/mage/atequipment/avatar/neck/mm_neck10900b.img,18
