转换注：
该NPK辞典条目格式根据COLG精灵-传说纯手动改编
用于恋恋のEx的NPK辞典中查询使用
若有补充，请联系原作者，并通过原作者联系我进行修订（也可以自己修订）
BY-乘着歌声的翅膀2018.6.19
--------------------------------------------------------
使用方法：
在恋恋のEx的输出目录（默认为软件同目录下的output文件夹下），
找到npkdict.txt，将此文件替换即可。
恋恋のEx的NPK辞典可在主界面中特殊工具菜单中找到。
--------------------------------------------------------
原作者注：
有什么代码可以提供，我QQ是1289309989，论坛名称：精灵-传说
也欢迎加入补丁群进行讨论，群号334906062，
代码表持续更新中
更新于2018.6.19
--------------------------------------------------------
sprite_character_demonicswordsman.NPK,(黑暗武士)空的
sprite_character_demonicswordsman_effect.NPK,(黑暗武士)暗影斩、冥光斩、暗影·波动剑、冥魂之陨、挑击
sprite_character_demonicswordsman_effect_ashenfork.NPK,(黑暗武士)波动暗杀
sprite_character_demonicswordsman_effect_blastblood.NPK,(黑暗武士)暗劲爆发
sprite_character_demonicswordsman_effect_bloodsword.NPK,(黑暗武士)破魂之刃
sprite_character_demonicswordsman_effect_bloodyrave.NPK,(黑暗武士)灭魂封魔斩
sprite_character_demonicswordsman_effect_chargecrash.NPK,(黑暗武士)暗影升龙击,
sprite_character_demonicswordsman_effect_combostep.NPK,(黑暗武士)施放下一个阶段技能的效果
sprite_character_demonicswordsman_effect_dark_hadouken.NPK,(黑暗武士)邪影·波动剑
sprite_character_demonicswordsman_effect_flowmindone.NPK,(黑暗武士)突刺
sprite_character_demonicswordsman_effect_flowmindpowerup.NPK,(黑暗武士)突刺效果
sprite_character_demonicswordsman_effect_flowmindthree.NPK,(黑暗武士)跃斩效果
sprite_character_demonicswordsman_effect_flowmindtwo.NPK,(黑暗武士)跃斩
sprite_character_demonicswordsman_effect_ghostsidewind.NPK,(黑暗武士)暗影鞭
sprite_character_demonicswordsman_effect_ghoststepslash.NPK,(黑暗武士)禁魂斩
sprite_character_demonicswordsman_effect_gorecross.NPK,(黑暗武士)暗黑十字斩
sprite_character_demonicswordsman_effect_grabblastblood.NPK,(黑暗武士)暗魂之手
sprite_character_demonicswordsman_effect_hopsmash.NPK,(黑暗武士)突刺
sprite_character_demonicswordsman_effect_illusionslash.NPK,(黑暗武士)魔影剑舞
sprite_character_demonicswordsman_effect_jumpattackmulti.NPK,(黑暗武士)魔影剑舞
sprite_character_demonicswordsman_effect_kalla.NPK,(黑暗武士)冥炎破空斩
sprite_character_demonicswordsman_effect_momentaryslash.NPK,(黑暗武士)破灭斩
sprite_character_demonicswordsman_effect_moonslash.NPK,(黑暗武士)暗月斩
sprite_character_demonicswordsman_effect_outragebreak.NPK,(黑暗武士)魔狱裂魂斩
sprite_character_demonicswordsman_effect_rapidmoveslash.NPK,(黑暗武士)突刺
sprite_character_demonicswordsman_effect_reflectguard.NPK,(黑暗武士)冥魂珠
sprite_character_demonicswordsman_effect_shockwavearea.NPK,(黑暗武士)凝魂波动阵
sprite_character_demonicswordsman_effect_tripleslash.NPK,(黑暗武士)某剑舞效果
sprite_character_demonicswordsman_effect_triplestab.NPK,(黑暗武士)暗影三击剑
sprite_character_demonicswordsman_effect_vaneslash.NPK,(黑暗武士)漩涡斩
sprite_character_demonicswordsman_effect_wavespinarea.NPK,(黑暗武士)黑暗冥王阵
sprite_character_demonicswordsman_effect_chargeexplosion.NPK,(黑暗武士)斩龙破
sprite_character_demonicswordsman_effect_darkburst.NPK,(黑暗武士)邪影升龙斩
sprite_character_demonicswordsman_effect_darkwavefall.NPK,(黑暗武士)暗炎冥魂波
sprite_character_demonicswordsman_effect_phantomsword.NPK,(黑暗武士)幽魂剑特效
sprite_character_demonicswordsman_effect_timebreak.NPK,(黑暗武士)超時空碎裂
sprite_character_demonicswordsman_effect_timestop.NPK,(黑暗武士)自觉能量条
sprite_character_mage_effect_creatorfirehurricane.NPK,(缔造者)烈焰飓风
sprite_character_mage_effect_creatorfiremeteo.NPK,(缔造者)炽炎星陨
sprite_character_mage_effect_creatorfirewall.NPK,(缔造者)烈火燎原
sprite_character_mage_effect_creatoriceplate.NPK,(缔造者)冰天震地
sprite_character_mage_effect_creatoricerock.NPK,(缔造者)冰霜之球
sprite_character_mage_effect_creatoriceshield.NPK,(缔造者)极冰护盾
sprite_character_mage_effect_creatoricewoodfence.NPK,(缔造者)树之屏障
sprite_character_mage_effect_creatormodechange.NPK,(缔造者)风暴
sprite_character_mage_effect_creatortargetmark.NPK,(缔造者)坐标
sprite_character_mage_effect_creatorwindpress.NPK,(缔造者)超能旋风波
sprite_character_mage_effect_creatorwindstorm.NPK,(缔造者)风暴漩涡
sprite_character_mage_effect_magicsphere.NPK,(缔造者)鼠标
sprite_character_mage_effect_creatorcasting.NPK,(缔造者)自觉后屏障系技能特效
